N,BIBID,ITEMID,Code barre,D.CREATION,D.MODIF,Cote,Inventaire,Titre,Auteur,Staff-Note,ISBN-A,Item class,Nb Page,Date edition,Editeur,Prix
122,139333,805825,'046200000012',6/25/2010,6/25/2010,MAR 700 (2 ),16767,Marketing de distribution et d'exploitation,"Mohsen Debabi,Mohamed Riadh Lajili et Mohamed Mejri, préf.par André Fady -",-,9.78997E+12,Monographie prêtable (50),256 p.,2007,L'Univers du Livre,-
123,53461,805840,'046200000013',6/25/2010,6/25/2010,MAR 669 (2 ),16490 (2 ),Pentacom,"Philippe Malaval,... Jean-Marc Decaudin,... avec la collaboration de Christophe Benaroya,...",-,9.78274E+12,Monographie prêtable (50),1 vol. (XXXVI-728 p.),cop. 2005,Pearson éducation,48 EUR
124,476750,805886,'046200000015',6/25/2010,6/25/2010,MAR 663 (10 ),16015 (10 ),Comprendre le comportement du consommateur,Mohamed Kadhem Kilani -,-,-,Monographie prêtable (50),210 p.,2003,Edition L'Expert,-
125,476750,805892,'046200000016',6/25/2010,6/25/2010,MAR 663 (9 ),16015 (9 ),Comprendre le comportement du consommateur,Mohamed Kadhem Kilani -,-,-,Monographie prêtable (50),210 p.,2003,Edition L'Expert,-
126,476750,805908,'046200000018',6/25/2010,6/25/2010,MAR 663 (7 ),16015 (7 ),Comprendre le comportement du consommateur,Mohamed Kadhem Kilani -,-,-,Monographie prêtable (50),210 p.,2003,Edition L'Expert,-
127,476750,805916,'046200000019',6/25/2010,6/25/2010,MAR 663 (6 ),16015 (6 ),Comprendre le comportement du consommateur,Mohamed Kadhem Kilani -,-,-,Monographie prêtable (50),210 p.,2003,Edition L'Expert,-
128,476750,805925,'046200000020',6/25/2010,6/25/2010,MAR 663 (4 ),16015 (4 ),Comprendre le comportement du consommateur,Mohamed Kadhem Kilani -,-,-,Monographie prêtable (50),210 p.,2003,Edition L'Expert,-
129,476750,805931,'046200000021',6/25/2010,6/25/2010,MAR 663 (3 ),16015 (3 ),Comprendre le comportement du consommateur,Mohamed Kadhem Kilani -,-,-,Monographie prêtable (50),210 p.,2003,Edition L'Expert,-
130,476750,805939,'046200000022',6/25/2010,6/25/2010,MAR 663 (2 ),16015 (2 ),Comprendre le comportement du consommateur,Mohamed Kadhem Kilani -,-,-,Monographie prêtable (50),210 p.,2003,Edition L'Expert,-
131,67613,1260624,'046200000024',9/22/2010,9/22/2010,MAR 327 ( 43 ),16007 ( 1 ),Marketing management,Kotler & Dubois -,16007 ( 1 ),2-7440-7008-4,Monographie prêtable (50),761 p.,cop. 2003,Pearson education,64 EUR
132,245763,1260702,'046200000025',9/22/2010,9/22/2010,MAR 327 ( 54 ),17436,Marketing management,- -,17436,2-7440-7201-X,Monographie prêtable (50),XXXXIX-884p.,2006,Pearson education,-
133,476094,920843,'046200000026',7/5/2010,7/5/2010,MAR 679 ( 2 ),16548 (2 ),Méthodologies de la recherche en gestion,Abdelfattah Triki -,-,978-3373-701-10-7,Monographie prêtable (50),313 p.,2007-2008,Tunis editions,-
134,476094,920866,'046200000027',7/5/2010,7/5/2010,MAR 679 ( 6 ),16548 (6 ),Méthodologies de la recherche en gestion,Abdelfattah Triki -,-,978-3373-701-10-7,Monographie prêtable (50),313 p.,2007-2008,Tunis editions,-
135,476094,920892,'046200000028',7/5/2010,7/5/2010,MAR 679 (5 ),16548 ( 5 ),Méthodologies de la recherche en gestion,Abdelfattah Triki -,-,978-3373-701-10-7,Monographie prêtable (50),313 p.,2007-2008,Tunis editions,-
136,476094,920906,'046200000029',7/5/2010,7/5/2010,MAR 679 ( 4 ),16548 ( 4 ),Méthodologies de la recherche en gestion,Abdelfattah Triki -,-,978-3373-701-10-7,Monographie prêtable (50),313 p.,2007-2008,Tunis editions,-
137,476094,920921,'046200000030',7/5/2010,7/5/2010,MAR 679 (3 ),16548 ( 3 ),Méthodologies de la recherche en gestion,Abdelfattah Triki -,-,978-3373-701-10-7,Monographie prêtable (50),313 p.,2007-2008,Tunis editions,-
138,476094,920939,'046200000031',7/5/2010,7/5/2010,MAR 679 (7 ),16548 ( 7 ),Méthodologies de la recherche en gestion,Abdelfattah Triki -,-,978-3373-701-10-7,Monographie prêtable (50),313 p.,2007-2008,Tunis editions,-
139,476094,929165,'046200000032',7/6/2010,7/6/2010,MAR 679 (8 ),16548 ( 8 ),Méthodologies de la recherche en gestion,Abdelfattah Triki -,-,978-3373-701-10-7,Monographie prêtable (50),313 p.,2007-2008,Tunis editions,-
140,476094,929205,'046200000033',7/6/2010,7/6/2010,MAR 679 (9 ),16548 ( 9 ),Méthodologies de la recherche en gestion,Abdelfattah Triki -,-,978-3373-701-10-7,Monographie prêtable (50),313 p.,2007-2008,Tunis editions,-
141,476094,929384,'046200000034',7/6/2010,7/6/2010,MAR 679 (11 ),16548 ( 11 ),Méthodologies de la recherche en gestion,Abdelfattah Triki -,-,978-3373-701-10-7,Monographie prêtable (50),313 p.,2007-2008,Tunis editions,-
142,476094,929359,'046200000035',7/6/2010,7/6/2010,MAR 679 (10 ),16548 ( 10 ),Méthodologies de la recherche en gestion,Abdelfattah Triki -,-,978-3373-701-10-7,Monographie prêtable (50),313 p.,2007-2008,Tunis editions,-
143,476094,929508,'046200000036',7/6/2010,7/6/2010,MAR 679 (12 ),16548 (12 ),Méthodologies de la recherche en gestion,Abdelfattah Triki -,-,978-3373-701-10-7,Monographie prêtable (50),313 p.,2007-2008,Tunis editions,-
144,476094,929546,'046200000037',7/6/2010,7/6/2010,MAR 679 (13 ),16548 ( 13 ),Méthodologies de la recherche en gestion,Abdelfattah Triki -,-,978-3373-701-10-7,Monographie prêtable (50),313 p.,2007-2008,Tunis editions,-
145,476094,929594,'046200000038',7/6/2010,7/6/2010,MAR 679 (14 ),16548 ( 14 ),Méthodologies de la recherche en gestion,Abdelfattah Triki -,-,978-3373-701-10-7,Monographie prêtable (50),313 p.,2007-2008,Tunis editions,-
146,476094,929636,'046200000039',7/6/2010,7/6/2010,MAR 679 ( 15 ),16548 ( 15 ),Méthodologies de la recherche en gestion,Abdelfattah Triki -,-,978-3373-701-10-7,Monographie prêtable (50),313 p.,2007-2008,Tunis editions,-
147,476094,929674,'046200000040',7/6/2010,7/6/2010,MAR 679 (16 ),16548 ( 16 ),Méthodologies de la recherche en gestion,Abdelfattah Triki -,-,978-3373-701-10-7,Monographie prêtable (50),313 p.,2007-2008,Tunis editions,-
148,476094,929712,'046200000041',7/6/2010,7/6/2010,MAR 679 ( 17 ),16548 ( 17 ),Méthodologies de la recherche en gestion,Abdelfattah Triki -,-,978-3373-701-10-7,Monographie prêtable (50),313 p.,2007-2008,Tunis editions,-
149,476094,929740,'046200000042',7/6/2010,7/6/2010,MAR 679 (18 ),16548 ( 18 ),Méthodologies de la recherche en gestion,Abdelfattah Triki -,-,978-3373-701-10-7,Monographie prêtable (50),313 p.,2007-2008,Tunis editions,-
150,476094,929957,'046200000043',7/6/2010,7/6/2010,MAR 679 (19 ),16548 ( 19 ),Méthodologies de la recherche en gestion,Abdelfattah Triki -,-,978-3373-701-10-7,Monographie prêtable (50),313 p.,2007-2008,Tunis editions,-
151,476094,930007,'046200000044',7/6/2010,7/6/2010,MAR 679 (20 ),16548 ( 20 ),Méthodologies de la recherche en gestion,Abdelfattah Triki -,-,978-3373-701-10-7,Monographie prêtable (50),313 p.,2007-2008,Tunis editions,-
152,476094,932539,'046200000045',7/6/2010,7/6/2010,MAR 679 (1 ),16548 ( 1 ),Méthodologies de la recherche en gestion,Abdelfattah Triki -,16548 ( 1 ),978-3373-701-10-7,Monographie prêtable (50),313 p.,2007-2008,Tunis editions,-
153,11620,933370,'046200000046',7/6/2010,7/6/2010,MAR 327,12403,Marketing management,Philip Kotler et Bernard Dubois -,12403,2-85790-092-9,Monographie prêtable (50),XV-742 p.,1994,Publi-union,420 F
154,348003,933431,'046200000047',7/6/2010,7/6/2010,MAR 327 ( 16 ),INV 12739 ( 9 ),Marketing management,Philip Kotler et Bernard Dubois -,INV 12739 ( 9 ),2857900759,Monographie prêtable (50),812 p.,1992,Publi-union,-
155,348003,933440,'046200000048',7/6/2010,7/6/2010,MAR 327 ( 6 ),12479 ( 5 ),Marketing management,Philip Kotler et Bernard Dubois -,12479 ( 5 ),2857900759,Monographie prêtable (50),812 p.,1992,Publi-union,-
156,348003,933448,'046200000049',7/6/2010,7/6/2010,MAR 327 ( 9 ),12739 ( 2 ),Marketing management,Philip Kotler et Bernard Dubois -,12739 ( 2 ),2857900759,Monographie prêtable (50),812 p.,1992,Publi-union,-
157,348003,933459,'046200000050',7/6/2010,7/6/2010,MAR 327 ( 10 ),12739 ( 3 ),Marketing management,Philip Kotler et Bernard Dubois -,12739 ( 3 ),2857900759,Monographie prêtable (50),812 p.,1992,Publi-union,-
158,348003,933462,'046200000051',7/6/2010,7/6/2010,MAR 327 ( 12 ),12739 ( 5 ),Marketing management,Philip Kotler et Bernard Dubois -,12739 ( 5 ),2857900759,Monographie prêtable (50),812 p.,1992,Publi-union,-
159,94276,1237576,'046200000052',9/18/2010,9/18/2010,MAR 562 (2),-,Marketing et gestion de la recherche et développement,Jean-Michel Gaillard préf. de Michel Callon,-,2-7178-3389-7,Monographie prêtable (50),336 p.,1997,Economica,-
160,94276,1237588,'046200000053',9/18/2010,9/18/2010,MAR 562 (3),-,Marketing et gestion de la recherche et développement,Jean-Michel Gaillard préf. de Michel Callon,-,2-7178-3389-7,Monographie prêtable (50),336 p.,1997,Economica,-
161,94276,1237594,'046200000054',9/18/2010,9/18/2010,MAR 562 (1),-,Marketing et gestion de la recherche et développement,Jean-Michel Gaillard préf. de Michel Callon,-,2-7178-3389-7,Monographie prêtable (50),336 p.,1997,Economica,-
162,94276,1237598,'046200000055',9/18/2010,9/18/2010,MAR 562 (4),-,Marketing et gestion de la recherche et développement,Jean-Michel Gaillard préf. de Michel Callon,-,2-7178-3389-7,Monographie prêtable (50),336 p.,1997,Economica,-
163,138614,1241397,'046200000056',9/20/2010,9/20/2010,MAR 704,16966,Comportements du consommateur,"Denis Darpy, Pierre Volle -",16966,978-2-10-049807-9,Monographie prêtable (50),1 vol. (XII-370 p.-VIII p. de pl.),DL 2007,Dunod,35 EUR
164,876216,1242513,'046200000057',9/20/2010,9/20/2010,MAR 703,16958,Marketing,Claude Demeure -,16958,978-2-10-051339-0,Monographie prêtable (50),1 vol. (XXI-400 p.),impr. 2007,Dunod,18 EUR
165,179290,1242563,'046200000058',9/20/2010,9/20/2010,MAR 702,16775,Sept secrets pour un service client performant,- -,16775,2-84211-088-9,Monographie prêtable (50),184p,2000,les echos,-
166,558627,1242592,'046200000059',9/20/2010,9/20/2010,MAR 701,16763,Le marketing des arts et de la culture,- -,16763,2-89105-964-6,Monographie prêtable (50),-,2007,Gaetan Morin,-
167,139333,1242636,'046200000060',9/20/2010,9/20/2010,MAR 700 (1 ),16739,Marketing de distribution et d'exploitation,"Mohsen Debabi,Mohamed Riadh Lajili et Mohamed Mejri, préf.par André Fady -",16739,9.78997E+12,Monographie prêtable (50),256 p.,2007,L'Univers du Livre,-
168,353757,1242686,'046200000061',9/20/2010,9/20/2010,MAR 699,16736,Le Management commercial,Hervé Ghannad -,16736,2-7328-0865-2,Monographie prêtable (50),138 p.,2002,De Vecchi,"16,62 EUR"
169,91902,1242752,'046200000062',9/20/2010,9/20/2010,MAR 696,16711,Recherches sur la distribution moderne,"coordonné par Mohamed Mejri, Mohamed Riadh Lajili préf. Marc Filser",16711,9973-786890,Monographie prêtable (50),203 p.,2007,L'Univers du Livre,-
170,179353,1242781,'046200000063',9/20/2010,9/20/2010,MAR 698,16733,Le lean au service du client,- -,16733,2-915236-19-4,Monographie prêtable (50),251p,2006,Vuibert,-
171,476686,1242824,'046200000064',9/20/2010,9/20/2010,MAR 697,16728,Dans la tête du client,Gérald Zaltman trad. de l'américain de Michel Edéry,16728,2-7081-3103-6,Monographie prêtable (50),381 p.,2004,Ed. d'Organisation,-
172,53734,1242853,'046200000065',9/20/2010,9/20/2010,MAR 681,16604,Communicator,Marie-Hélène Westphalen -,16604,2100486365,Monographie prêtable (50),XVII-446 p.-[XV] p. de pl. en coul.,2004,Dunod,40 EUR
173,54044,1531581,'046200000066',11/15/2010,11/15/2010,Prod 167 (4),16453(4),Gestion des risques,Bernard Barthélemy Philippe Courrèges,16453(4),2708130412,Monographie prêtable (50),VIII-471 p.,2004,Éd. d'Organisation,-
174,54044,1531582,'046200000067',11/15/2010,11/15/2010,Prod 167 (3),16453 (3),Gestion des risques,Bernard Barthélemy Philippe Courrèges,16453 (3),2708130412,Monographie prêtable (50),VIII-471 p.,2004,Éd. d'Organisation,-
175,54044,1531583,'046200000068',11/15/2010,11/15/2010,Prod 167 (2),16453 (2),Gestion des risques,Bernard Barthélemy Philippe Courrèges,16453 (2),2708130412,Monographie prêtable (50),VIII-471 p.,2004,Éd. d'Organisation,-
176,54044,1531584,'046200000069',11/15/2010,12/5/2018,PROD 167 (1 ),16453 (1 ),Gestion des risques,Bernard Barthélemy Philippe Courrèges,16453 (1 ),2708130412,Monographie prêtable (50),VIII-471 p.,2004,Éd. d'Organisation,-
177,1584055,1531590,'046200000070',11/15/2010,12/6/2018,PROD 166 (2 ),16455 (2 ),�L'�audit qualit� interne,Christophe Villalonga pr�f. de Philippe Marcel,16455 (2 ),2-10-005196-2,Monographie prêtable (50),XII-155 p.,2003,Sogi communication,26 EUR
178,1584055,1531591,'046200000071',11/15/2010,12/6/2018,PROD 166 (1 ),16455 (1 ),�L'�audit qualit� interne,Christophe Villalonga pr�f. de Philippe Marcel,16455 (1 ),2-10-005196-2,Monographie prêtable (50),XII-155 p.,2003,Sogi communication,26 EUR
179,762965,1531602,'046200000072',11/15/2010,11/15/2010,Ro 174 (3 ),16462 (3 ),Problèmes résolus de recherche opérationnelle,"Yves Nobert, Roch Ouellet, Régis Parent -",16462 (3 ),2-89105-746-5,Monographie prêtable (50),-,1999,Gaëtin Morin,-
180,762965,1531603,'046200000073',11/15/2010,11/15/2010,Ro 174 (2),16462 (2 ),Problèmes résolus de recherche opérationnelle,"Yves Nobert, Roch Ouellet, Régis Parent -",16462 (2 ),2-89105-746-5,Monographie prêtable (50),-,1999,Gaëtin Morin,-
181,762965,1531604,'046200000074',11/15/2010,11/15/2010,Ro 174 (1 ),16462 (1 ),Problèmes résolus de recherche opérationnelle,"Yves Nobert, Roch Ouellet, Régis Parent -",16462 (1 ),2-89105-746-5,Monographie prêtable (50),-,1999,Gaëtin Morin,-
182,57452,1531605,'046200000075',11/15/2010,11/15/2010,Ro 167 (4),16456 (1 ),La recherche opérationnelle,"Yves Nobert, Roch Ouellet, Régis Parent -",16456 (1 ),9.78289E+12,Monographie prêtable (50),XIV-464 p.,2001,Gaëtan. Morin,-
183,57452,1531606,'046200000076',11/15/2010,11/15/2010,Ro 167 (5),16456 (2),La recherche opérationnelle,"Yves Nobert, Roch Ouellet, Régis Parent -",16456 (2),9.78289E+12,Monographie prêtable (50),XIV-464 p.,2001,Gaëtan. Morin,-
184,104373,1706616,'046200000077',1/6/2011,1/6/2011,QS 88,inv. 10936,Gestion comptable et financière,"Alain Mikol,... -",inv. 10936,2-13-042390-6,Monographie prêtable (50),127 p.,1989,Presses universitaires de France,30 F
185,79935,1706713,'046200000078',1/6/2011,1/6/2011,QS 170,inv. 11615,Le Droit de l'environnement,"Jacqueline Morand-Deviller,... -",inv. 11615,2-13039795-6,Monographie prêtable (50),126 p.,1987,PUF,25 F
186,869098,1706950,'046200000079',1/6/2011,1/6/2011,QS 107(5),inv. 12240(4),Le tourisme international,Robert Lanquar -,inv. 12240(4),2-13-045822-X,Monographie prêtable (50),127 p.,1977,Presses universitaires de France,40 F
187,939749,1707244,'046200000080',1/6/2011,1/6/2011,ORG 175 (C),inv. 12273,Organisation et performance des entreprises,Alfred D. Chandler Jr trad. par Jean-Michel B�har,inv. 12273,2-7081-1388-7 .,Monographie prêtable (50),412 p.,1993,les Ed. d'Organisation,198 F
188,871288,1707283,'046200000081',1/6/2011,1/6/2011,ORG 175 (B),inv. 12272,Organisation et performance des entreprises,Alfred D. Chandler trad. par Jean-Michel Behar,inv. 12272,2-7081-1384-4,Monographie prêtable (50),302 p.,1993,les Ed. d'Organisation,150 F
189,93299,1707389,'046200000082',1/6/2011,2/25/2013,ORG 29 (1),inv. 9415,Comprendre l'organisation,"Yvan Bordeleau, Luc Brunet, Robert R. Haccoun,...[et at.] -",inv. 9415,2-89022-037-0,Monographie prêtable (50),198 p.,1982,Agence d'Arc,-
190,19746,1707415,'046200000083',1/6/2011,1/6/2011,ORG 99 (2),inv. 1314,L'optimisation et les contrôles de la productivité et de la rentabilité de l'entreprise,R. B. Thibert -,inv. 1314,-,Monographie prêtable (50),13 - 296 p.,1968,Dunod,-
191,19746,1707422,'046200000084',1/6/2011,1/6/2011,ORG 99 (1),inv. 1035,L'optimisation et les contrôles de la productivité et de la rentabilité de l'entreprise,R. B. Thibert -,inv. 1035,-,Monographie prêtable (50),13 - 296 p.,1968,Dunod,-
192,29157,1707461,'046200000085',1/6/2011,1/6/2011,ORG 100 (3),inv. 1663,La direction de l'entreprise,"E. Gutenberg trad. par L. Revis, D. Ploux",inv. 1663,-,Monographie prêtable (50),196 p.,1969,Dunod,-
193,29157,1707482,'046200000086',1/6/2011,1/6/2011,ORG 100 (2),inv. 1137,La direction de l'entreprise,"E. Gutenberg trad. par L. Revis, D. Ploux",inv. 1137,-,Monographie prêtable (50),196 p.,1969,Dunod,-
194,29157,1707491,'046200000087',1/6/2011,1/6/2011,ORG 100 (1),inv. 719,La direction de l'entreprise,"E. Gutenberg trad. par L. Revis, D. Ploux",inv. 719,-,Monographie prêtable (50),196 p.,1969,Dunod,-
195,7284,1707504,'046200000088',1/6/2011,1/6/2011,ORG 34,inv. 4443,Guide pratique d'organisation administrative,"Maurice Aumage,... -",inv. 4443,2-7081-0258-3,Monographie prêtable (50),147 p.,1975,Éditions d'Organisation,44 F
196,93047,1707519,'046200000089',1/6/2011,1/6/2011,ORG 46 (1),inv. 4762,Techniques de diversification de l'entreprise,"Michel Fustier,... -",inv. 4762,2-7057-0284-9,Monographie prêtable (50),208 p.,1977,Éditions Hommes et techniques,75 F
197,558228,1707533,'046200000090',1/6/2011,1/6/2011,ORG 196,inv. 13410,Le management des changements sociaux dans l'entreprise,- -,inv. 13410,2-7101-0848-8,Monographie prêtable (50),226 p.,1991,ESF ed.,130 F
198,95943,1707541,'046200000091',1/6/2011,1/6/2011,ORG 142 (2),inv. 8139,"La conception des systèmes : une théorie, une méthode",Jacques Charest -,inv. 8139,2891-050517,Monographie prêtable (50),300 p.,1980,gaëtan morin and asoociés ltée,-
199,1524275,1707573,'046200000092',1/6/2011,1/6/2011,ORG 165 (1),inv. 9992,"Diagnostic, organisation, planification d'entreprise","Marcel Capet, Geneviève Causse, Jeanne Meunier -",inv. 9992,2-7178-1081-1,Monographie prêtable (50),III-587 p.,1994,Economica,185 F
200,92842,1707600,'046200000093',1/6/2011,1/6/2011,ORG 203 (2),inv. 13957 (1),Organisation intelligente et système d'information stratégique,"sous la dir. de Jacques-André Bartoli, Jean-Louis Le Moigne avec la participation de Françoise Adreit, Pascal Dehaene, Jean-Robert Alcaraz... [et al.]",inv. 13957 (1),2-7178-3128-2,Monographie prêtable (50),284 p.,1996,Economica,195 F
201,1370334,1707634,'046200000094',1/6/2011,1/6/2011,ORG 180 (10),inv. 14267 (3),Structure et Dynamique des organisations,Henry Minitzberg trad. Pierre Romelaer,inv. 14267 (3),2-7081-1971-0,Monographie prêtable (50),434 p.,1982,Editions d'organisation,-
202,1370334,1707637,'046200000095',1/6/2011,1/6/2011,ORG 180 (20),inv. 15309 (2),Structure et Dynamique des organisations,Henry Minitzberg trad. Pierre Romelaer,inv. 15309 (2),2-7081-1971-0,Monographie prêtable (50),434 p.,1982,Editions d'organisation,-
203,1370334,1707643,'046200000096',1/6/2011,1/6/2011,ORG 180 (21),inv. 15309 (3),Structure et Dynamique des organisations,Henry Minitzberg trad. Pierre Romelaer,inv. 15309 (3),2-7081-1971-0,Monographie prêtable (50),434 p.,1982,Editions d'organisation,-
204,1370334,1707681,'046200000097',1/6/2011,1/6/2011,ORG 180 (11),inv. 14267 (4),Structure et Dynamique des organisations,Henry Minitzberg trad. Pierre Romelaer,inv. 14267 (4),2-7081-1971-0,Monographie prêtable (50),434 p.,1982,Editions d'organisation,-
205,1370334,1707686,'046200000098',1/6/2011,1/6/2011,ORG 180 (15),inv. 14267 (8),Structure et Dynamique des organisations,Henry Minitzberg trad. Pierre Romelaer,inv. 14267 (8),2-7081-1971-0,Monographie prêtable (50),434 p.,1982,Editions d'organisation,-
